scenario,mode,state_before,state_after,candidate_valid,accepted_appended,reason,candidate_points_before,candidate_points_after,candidate_length_before,candidate_length_after,candidate_available_before,candidate_available_after,candidate_drawing_before,candidate_drawing_after,candidate_pending_before,candidate_pending_after,final_available,final_drawing_reserved,final_pending_reserved,final_committed_charged,final_ledger_total,final_accepted_points,final_pending_count,final_committed_count,terminal_state,charged_length,simplified_points,pending_colliders,segment_count,collider_count,degenerate_skipped,capsule_direction,capsule_radius,capsule_height,expected_capsule_height,capsule_center_zero,capsule_non_trigger,root_scale_one,child_scale_one,midpoint_aligned,y_axis_aligned,max_shared_endpoint_gap,render_frame,late_update_sequence,sample_phase,candidate_count_this_frame,event_order,atomic_unchanged,result
short_cancel,Trajectory,Drawing,Idle,True,True,Appended,1,3,0.000000,0.160000,5.000000,4.840000,0.000000,0.160000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,5.000000,0,0,0,Cancelled,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,False,False,False,False,False,False,0.000000000,0,0,LATE_UPDATE,0,DIRECT,True,PASS
pending_confirm,Trajectory,Drawing,Idle,True,True,Appended,1,4,0.000000,0.240000,5.000000,4.760000,0.000000,0.000000,0.000000,0.240000,4.760000,0.000000,0.000000,0.240000,5.000000,0,0,1,Committed,0.240000,2,0,1,1,0,1,0.140000,0.520000,0.520000,True,True,True,True,True,True,0.000000000,4,3,LATE_UPDATE,1,CANDIDATE>RELEASE,True,PASS
pending_cancel,Trajectory,Drawing,Idle,True,True,Appended,1,4,0.000000,0.240000,5.000000,4.760000,0.000000,0.240000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,5.000000,0,0,0,Cancelled,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,False,False,False,False,False,False,0.000000000,0,0,LATE_UPDATE,0,DIRECT,True,PASS
reach_atomic,Trajectory,Drawing,Drawing,False,False,ReachInvalid,3,3,0.160000,0.160000,4.840000,4.840000,0.160000,0.160000,0.000000,0.000000,4.840000,0.160000,0.000000,0.000000,5.000000,3,0,0,Idle,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,False,False,False,False,False,False,0.000000000,0,0,LATE_UPDATE,0,DIRECT,True,PASS
ink_atomic,Trajectory,Drawing,Drawing,False,False,InkInvalid,1,1,0.000000,0.000000,0.200001,0.200001,0.000000,0.000000,0.000000,0.000000,0.200001,0.000000,0.000000,4.800000,5.000000,1,0,4,Idle,1.200000,0,0,0,0,0,0,0.000000,0.000000,0.000000,False,False,False,False,False,False,0.000000000,0,0,LATE_UPDATE,0,DIRECT,True,PASS
r_reset_pending,Trajectory,Drawing,Idle,True,True,Appended,1,4,0.000000,0.240000,5.000000,4.760000,0.000000,0.240000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,5.000000,0,0,0,Idle,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,False,False,False,False,False,False,0.000000000,0,0,LATE_UPDATE,0,DIRECT,True,PASS
invalid_release_under_min,Trajectory,Drawing,Idle,False,False,ReachInvalid,3,3,0.160000,0.160000,4.840000,4.840000,0.160000,0.160000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,5.000000,0,0,0,Cancelled,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,False,False,False,False,False,False,0.000000000,0,0,LATE_UPDATE,1,CANDIDATE>RELEASE,True,PASS
invalid_release_over_min,Trajectory,Drawing,Pending,False,False,ReachInvalid,4,4,0.240000,0.240000,4.760000,4.760000,0.240000,0.240000,0.000000,0.000000,4.760000,0.000000,0.240000,0.000000,5.000000,4,1,0,Idle,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,False,False,False,False,False,False,0.000000000,0,0,LATE_UPDATE,1,CANDIDATE>RELEASE,True,PASS
drawing_cancel,Trajectory,Drawing,Idle,True,True,Appended,1,4,0.000000,0.240000,5.000000,4.760000,0.000000,0.240000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,5.000000,0,0,0,Cancelled,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,False,False,False,False,False,False,0.000000000,0,0,LATE_UPDATE,0,CANCEL,True,PASS
pending_new_draw_reject,Trajectory,Pending,Pending,True,True,Appended,4,4,0.240000,0.240000,4.760000,4.760000,0.000000,0.000000,0.240000,0.240000,4.760000,0.000000,0.240000,0.000000,5.000000,4,1,0,Idle,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,False,False,False,False,False,False,0.000000000,0,0,LATE_UPDATE,0,PRESS_REJECTED,True,PASS
out_of_state_confirm,Trajectory,Idle,Idle,False,False,Appended,0,0,0.000000,0.000000,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,5.000000,0,0,0,Idle,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,False,False,False,False,False,False,0.000000000,0,0,LATE_UPDATE,0,CONFIRM_REJECTED,True,PASS
confirm_release_same_frame,Trajectory,Drawing,Pending,True,True,Appended,3,4,0.160000,0.240000,4.840000,4.760000,0.160000,0.000000,0.000000,0.240000,4.760000,0.000000,0.240000,0.000000,5.000000,4,1,0,Idle,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,False,False,False,False,False,False,0.000000000,0,0,LATE_UPDATE,1,CONFIRM_REJECTED>CANDIDATE>RELEASE,True,PASS
mode_parity_aim,Aim,Drawing,Idle,True,True,Appended,1,4,0.000000,0.240000,5.000000,4.760000,0.000000,0.240000,0.000000,0.000000,4.760000,0.000000,0.000000,0.240000,5.000000,0,0,1,Committed,0.240000,2,0,0,0,0,0,0.000000,0.000000,0.000000,False,False,False,False,False,False,0.000000000,0,0,LATE_UPDATE,0,IDENTICAL_SEQUENCE,True,PASS
mode_parity_trajectory,Trajectory,Drawing,Idle,True,True,Appended,1,4,0.000000,0.240000,5.000000,4.760000,0.000000,0.240000,0.000000,0.000000,4.760000,0.000000,0.000000,0.240000,5.000000,0,0,1,Committed,0.240000,2,0,0,0,0,0,0.000000,0.000000,0.000000,False,False,False,False,False,False,0.000000000,0,0,LATE_UPDATE,0,IDENTICAL_SEQUENCE,True,PASS
