scenario,adapter_mode,render_frame,late_update_sequence,sample_index_in_frame,input_event_seq,input_control,input_phase,draw_pressed_latched,draw_released_latched,confirm_latched,cancel_latched,session_state_before,session_state_after,sample_phase,event_order,mapping_source,mouse_screen_x,mouse_screen_y,ray_origin_x,ray_origin_y,ray_origin_z,ray_direction_x,ray_direction_y,ray_direction_z,ray_intersection_t,hand_x,hand_y,hand_z,marker_local_x,marker_local_y,marker_local_z,plane_origin_x,plane_origin_y,plane_origin_z,plane_normal_x,plane_normal_y,plane_normal_z,raw_candidate_x,raw_candidate_y,raw_candidate_z,independent_expected_x,independent_expected_y,independent_expected_z,mapping_error,candidate_valid,candidate_invalid_reason,accepted_appended,appended_point_count,accepted_count_before,accepted_count_after,length_before,length_after,available_before,available_after,drawing_before,drawing_after,pending_before,pending_after,backend_instance_id,backend_profile_hash,adapter_config_hash,depth_drift,mouse_influence_detected,remote_point_detected,atomic_unchanged,result
A01,Aim,7,1,1,1,LMB,PRESSED,True,False,False,False,Idle,Drawing,LATE_UPDATE,PRESS>CANDIDATE,MOUSE_RAY,960.000000000,540.000000000,0.031481090,2.484718000,-5.906149000,0.314298700,-0.152566200,0.936984500,1.871472000,0.150000000,1.399346000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,0.619682300,2.199195000,-4.152609000,0.619682300,2.199195000,-4.152609000,0.000000000,True,Appended,True,11,0,12,0.000000000,0.880000000,5.000000000,4.120000000,0.000000000,0.880000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,False,PASS
A02,Aim,8,2,1,2,LMB,HELD,False,False,False,False,Drawing,Drawing,LATE_UPDATE,CANDIDATE,MOUSE_RAY,960.000000000,540.000000000,0.031481090,2.484718000,-5.906149000,0.314298700,-0.152566200,0.936984500,1.871472000,0.150000000,1.396075000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,0.619682300,2.199195000,-4.152609000,0.619682300,2.199195000,-4.152609000,0.000000000,True,SpacingNotReached,False,0,12,12,0.880000000,0.880000000,4.120000000,4.120000000,0.880000000,0.880000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,True,PASS
A03,Aim,9,3,1,3,LMB,HELD,False,False,False,False,Drawing,Drawing,LATE_UPDATE,CANDIDATE,MOUSE_RAY,720.000000000,540.000000000,0.004696058,2.484718000,-5.897446000,0.045244510,-0.147230700,0.988066900,1.939291000,0.150000000,1.389535000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,0.092438310,2.199195000,-3.981297000,0.092438310,2.199195000,-3.981297000,0.000000000,True,Appended,True,6,12,18,0.880000000,1.360000000,4.120000000,3.640000000,0.880000000,1.360000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,False,PASS
A03,Aim,10,4,1,4,LMB,HELD,False,False,False,False,Drawing,Drawing,LATE_UPDATE,CANDIDATE,MOUSE_RAY,1200.000000000,540.000000000,0.058266040,2.484718000,-5.914852000,0.558634400,-0.146512400,0.816371100,1.948784000,0.150000000,1.380375000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,1.146924000,2.199197000,-4.323920000,1.146924000,2.199197000,-4.323920000,0.000000000,False,ReachInvalid,False,0,18,18,1.360000000,1.360000000,3.640000000,3.640000000,1.360000000,1.360000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,True,PASS
A03,Aim,11,5,1,5,LMB,HELD,False,False,False,False,Drawing,Drawing,LATE_UPDATE,CANDIDATE,MOUSE_RAY,960.000000000,360.000000000,0.030123950,2.464057000,-5.910326000,0.297676500,-0.355172900,0.886138200,1.983271000,0.150000000,1.368598000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,0.620497000,1.759653000,-4.152874000,0.620497000,1.759653000,-4.152874000,0.000000000,True,Appended,True,8,18,26,1.360000000,2.000000000,3.640000000,3.000000000,1.360000000,2.000000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,False,PASS
A03,Aim,12,6,1,6,LMB,HELD,False,False,False,False,Drawing,Drawing,LATE_UPDATE,CANDIDATE,MOUSE_RAY,960.000000000,720.000000000,0.032838160,2.505379000,-5.901972000,0.317210500,0.051964930,0.946930300,1.847661000,0.150000000,1.353376000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,0.618935500,2.601393000,-4.152366000,0.618935500,2.601393000,-4.152366000,0.000000000,False,ReachInvalid,False,0,26,26,2.000000000,2.000000000,3.000000000,3.000000000,2.000000000,2.000000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,True,PASS
A04,Aim,13,7,1,7,LMB,HELD,False,False,False,False,Drawing,Drawing,LATE_UPDATE,CANDIDATE,MOUSE_RAY,960.000000000,540.000000000,0.061681580,2.484718000,-5.922576000,0.615812300,-0.152566000,0.772980500,2.005274000,0.150000000,1.336233000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,1.296554000,2.178782000,-4.372538000,1.296554000,2.178782000,-4.372538000,0.000000000,False,ReachInvalid,False,0,26,26,2.000000000,2.000000000,3.000000000,3.000000000,2.000000000,2.000000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,True,PASS
A05,Aim,14,8,1,8,LMB,HELD,False,False,False,False,Drawing,Drawing,LATE_UPDATE,CANDIDATE,MOUSE_RAY,952.000000000,492.000000000,0.000000000,2.500000000,-6.000000000,-0.951056500,0.000000000,0.309017000,,0.150000000,1.316453000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,,,,,,,,False,NO_PLANE_INTERSECTION,False,0,26,26,2.000000000,2.000000000,3.000000000,3.000000000,2.000000000,2.000000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,True,PASS
A06,Aim,15,9,1,9,LMB,HELD,False,False,False,False,Drawing,Drawing,LATE_UPDATE,CANDIDATE,MOUSE_RAY,952.000000000,492.000000000,NaN,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,,0.150000000,1.293560000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,,,,,,,,False,NON_FINITE,False,0,26,26,2.000000000,2.000000000,3.000000000,3.000000000,2.000000000,2.000000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,True,PASS
A07,Aim,16,10,1,10,LMB,HELD,False,False,False,False,Drawing,Drawing,LATE_UPDATE,CANDIDATE,MOUSE_RAY,960.000000000,540.000000000,0.061681580,2.484718000,-5.922576000,0.615812300,-0.152566000,0.772980500,2.005274000,0.150000000,1.267894000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,1.296554000,2.178782000,-4.372538000,1.296554000,2.178782000,-4.372538000,0.000000000,False,ReachInvalid,False,0,26,26,2.000000000,2.000000000,3.000000000,3.000000000,2.000000000,2.000000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,True,PASS
A07,Aim,17,11,1,11,LMB,HELD,False,False,False,False,Drawing,Drawing,LATE_UPDATE,CANDIDATE,MOUSE_RAY,960.000000000,540.000000000,0.061681580,2.484718000,-5.922576000,0.615812300,-0.152566000,0.772980500,2.005274000,0.150000000,1.239604000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,1.296554000,2.178782000,-4.372538000,1.296554000,2.178782000,-4.372538000,0.000000000,False,ReachInvalid,False,0,26,26,2.000000000,2.000000000,3.000000000,3.000000000,2.000000000,2.000000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,True,PASS
A07,Aim,18,12,1,12,LMB,HELD,False,False,False,False,Drawing,Drawing,LATE_UPDATE,CANDIDATE,MOUSE_RAY,960.000000000,540.000000000,0.061681580,2.484718000,-5.922576000,0.615812300,-0.152566000,0.772980500,2.005274000,0.150000000,1.208703000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,1.296554000,2.178782000,-4.372538000,1.296554000,2.178782000,-4.372538000,0.000000000,False,ReachInvalid,False,0,26,26,2.000000000,2.000000000,3.000000000,3.000000000,2.000000000,2.000000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,True,PASS
A07,Aim,19,13,1,13,LMB,HELD,False,False,False,False,Drawing,Drawing,LATE_UPDATE,CANDIDATE,MOUSE_RAY,960.000000000,540.000000000,0.061681580,2.484718000,-5.922576000,0.615812300,-0.152566000,0.772980500,2.005274000,0.150000000,1.175181000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,1.296554000,2.178782000,-4.372538000,1.296554000,2.178782000,-4.372538000,0.000000000,False,ReachInvalid,False,0,26,26,2.000000000,2.000000000,3.000000000,3.000000000,2.000000000,2.000000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,True,PASS
A07,Aim,20,14,1,14,LMB,HELD,False,False,False,False,Drawing,Drawing,LATE_UPDATE,CANDIDATE,MOUSE_RAY,960.000000000,540.000000000,0.061681580,2.484718000,-5.922576000,0.615812300,-0.152566000,0.772980500,2.005274000,0.150000000,1.139055000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,1.296554000,2.178782000,-4.372538000,1.296554000,2.178782000,-4.372538000,0.000000000,False,ReachInvalid,False,0,26,26,2.000000000,2.000000000,3.000000000,3.000000000,2.000000000,2.000000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,True,PASS
A07,Aim,21,15,1,15,LMB,HELD,False,False,False,False,Drawing,Drawing,LATE_UPDATE,CANDIDATE,MOUSE_RAY,960.000000000,540.000000000,0.061681580,2.484718000,-5.922576000,0.615812300,-0.152566000,0.772980500,2.005274000,0.150000000,1.099814000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,1.296554000,2.178782000,-4.372538000,1.296554000,2.178782000,-4.372538000,0.000000000,False,ReachInvalid,False,0,26,26,2.000000000,2.000000000,3.000000000,3.000000000,2.000000000,2.000000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,True,PASS
A07,Aim,22,16,1,16,LMB,HELD,False,False,False,False,Drawing,Drawing,LATE_UPDATE,CANDIDATE,MOUSE_RAY,960.000000000,540.000000000,0.061681580,2.484718000,-5.922576000,0.615812300,-0.152566000,0.772980500,2.005274000,0.150000000,1.057795000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,1.296554000,2.178782000,-4.372538000,1.296554000,2.178782000,-4.372538000,0.000000000,False,ReachInvalid,False,0,26,26,2.000000000,2.000000000,3.000000000,3.000000000,2.000000000,2.000000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,True,PASS
A07,Aim,23,17,1,17,LMB,HELD,False,False,False,False,Drawing,Drawing,LATE_UPDATE,CANDIDATE,MOUSE_RAY,960.000000000,540.000000000,0.061681580,2.484718000,-5.922576000,0.615812300,-0.152566000,0.772980500,2.005274000,0.150000000,1.013157000,-4.000000000,0.350000000,0.800000000,0.000000000,0.150000000,1.399346000,-4.000000000,0.309017000,0.000000000,0.951056500,1.296554000,2.178782000,-4.372538000,1.296554000,2.178782000,-4.372538000,0.000000000,False,ReachInvalid,False,0,26,26,2.000000000,2.000000000,3.000000000,3.000000000,2.000000000,2.000000000,0.000000000,0.000000000,Du03AStrokeSession,reach=1.25|spacing=0.08|dedupe=0.02|min=0.20|ink=5.00,source=MOUSE_RAY|phase=LATE_UPDATE|assist=NONE,0.000000000,False,False,True,PASS
