joint,kind,worstAxis,worstDeg,limit,excess,twistDeg,swing1Deg,swing2Deg
DEF-thigh.L,ball,twist,-39.2,-30.0,9.2,29.7,3.7,-25.2
DEF-shin.L,hinge,offAxis,7.9,0.0,7.9,-68.4,0.0,0.0
DEF-foot.L,ball,swing1,40.0,30.0,10.0,-31.5,14.2,19.1
DEF-thigh.R,ball,swing2,57.1,35.0,22.1,7.6,4.7,35.4
DEF-shin.R,hinge,offAxis,19.8,0.0,19.8,-74.6,0.1,-0.1
DEF-foot.R,ball,swing1,45.4,30.0,15.4,-0.6,32.5,0.6
DEF-upper_arm.L,ball,twist,57.4,50.0,7.4,51.0,-8.8,-12.6
DEF-forearm.L,hinge,offAxis,10.1,0.0,10.1,7.0,-0.5,-0.5
DEF-hand.L,ball,swing2,23.2,20.0,3.2,-39.8,-21.1,1.4
DEF-upper_arm.R,ball,twist,52.1,50.0,2.1,-10.0,-1.4,11.5
DEF-forearm.R,hinge,offAxis,10.9,0.0,10.9,-5.0,0.0,-0.1
DEF-hand.R,ball,swing2,31.6,20.0,11.6,-39.8,-16.8,-11.0
DEF-spine.003,ball,twist,24.8,20.0,4.8,-6.9,-14.8,0.4
DEF-spine.006,ball,swing1,20.4,20.0,0.4,-5.0,6.5,7.8
