scenario,time_s,com_mps,max_linear_mps,max_angular_radps,pelvis_y,head_y,settled
A_bodycheck_mars_comic,0.000,0.0000,0.0000,0.0000,0.1950,0.8775,0
A_bodycheck_mars_comic,0.100,3.5791,4.1166,3.1823,0.3636,1.0340,0
A_bodycheck_mars_comic,0.200,3.4000,3.8539,3.7071,0.5182,1.1442,0
A_bodycheck_mars_comic,0.300,3.2591,3.6285,3.8041,0.6593,1.2107,0
A_bodycheck_mars_comic,0.400,3.1599,3.4784,2.5001,0.7406,1.2402,0
A_bodycheck_mars_comic,0.500,3.1047,3.4244,2.3762,0.7431,1.2363,0
A_bodycheck_mars_comic,0.600,3.0942,3.4012,2.1530,0.7082,1.1947,0
A_bodycheck_mars_comic,0.700,3.1273,3.4216,1.9709,0.6372,1.1166,0
A_bodycheck_mars_comic,0.800,3.2012,3.4836,1.7836,0.5307,1.0029,0
A_bodycheck_mars_comic,0.900,3.3116,3.6005,3.1029,0.3880,0.8534,0
A_bodycheck_mars_comic,1.000,3.4537,3.7323,2.9663,0.2106,0.6694,0
A_bodycheck_mars_comic,1.100,2.9978,4.0602,24.1708,0.0887,0.4454,0
A_bodycheck_mars_comic,1.200,2.0566,5.2363,11.6899,0.1481,0.1152,0
A_bodycheck_mars_comic,1.300,1.2065,1.8572,13.5681,0.1347,0.2026,0
A_bodycheck_mars_comic,1.400,1.0580,1.4081,11.0392,0.1046,0.3031,0
A_bodycheck_mars_comic,1.500,0.7900,0.8769,3.5685,0.0959,0.3516,0
A_bodycheck_mars_comic,1.600,0.5392,0.8205,2.2259,0.0974,0.3572,0
A_bodycheck_mars_comic,1.700,0.2051,0.7774,2.2010,0.1006,0.3504,0
A_bodycheck_mars_comic,1.800,0.0214,0.8150,3.4608,0.0998,0.3453,0
A_bodycheck_mars_comic,1.900,0.0264,0.5219,2.5741,0.0993,0.3443,0
A_bodycheck_mars_comic,2.000,0.0157,0.4126,3.2268,0.0990,0.3435,0
A_bodycheck_mars_comic,2.100,0.0213,0.6291,4.9007,0.0994,0.3438,0
A_bodycheck_mars_comic,2.200,0.0295,0.9905,5.3218,0.0993,0.3438,0
A_bodycheck_mars_comic,2.300,0.0177,0.1022,1.1724,0.0993,0.3435,0
A_bodycheck_mars_comic,2.400,0.0250,0.0966,1.1679,0.0990,0.3428,0
A_bodycheck_mars_comic,2.500,0.0194,0.0825,1.0398,0.0988,0.3422,0
A_bodycheck_mars_comic,2.600,0.0131,0.0298,0.4779,0.0986,0.3417,0
A_bodycheck_mars_comic,2.700,0.0045,0.0645,0.9875,0.0985,0.3415,0
A_bodycheck_mars_comic,2.800,0.0042,0.0788,1.1414,0.0987,0.3415,0
A_bodycheck_mars_comic,2.900,0.0029,0.0540,0.6197,0.0988,0.3415,0
A_bodycheck_mars_comic,3.000,0.0022,0.0286,0.3274,0.0989,0.3415,0
A_bodycheck_mars_comic,3.100,0.0060,0.0182,0.1029,0.0989,0.3413,0
A_bodycheck_mars_comic,3.200,0.0099,0.0251,0.1963,0.0987,0.3409,0
A_bodycheck_mars_comic,3.300,0.0116,0.0335,0.5514,0.0986,0.3405,0
A_bodycheck_mars_comic,3.400,0.0115,0.0405,0.7301,0.0984,0.3401,0
